,category,avg_amt,amt_std,cat_count,online,share,fraud_count,fraud_share,round_clock
0,gas_transport,635.7700124179528,158.2839873785451,56370,False,0.10143615748246866,154,0.0027319496185914493,True
1,grocery_pos,1158.853270032158,515.5233005791594,52553,False,0.09456757821848812,485,0.009228778566399636,True
2,home,579.9541293342248,480.8528100587024,52345,False,0.09419328833457197,67,0.0012799694335657657,False
3,shopping_pos,768.6245727139443,2324.8467769045046,49791,False,0.0895974404330246,213,0.0042778815448575045,False
4,kids_pets,575.0691263451902,487.4848215443376,48692,False,0.08761982224829455,65,0.0013349215476875051,False
5,shopping_net,834.8165322291104,2372.197581109323,41779,True,0.07518008201986975,506,0.012111347806314177,True
6,entertainment,639.8483991621783,642.2993466514308,40104,False,0.07216596877198728,59,0.001471174945142629,False
7,personal_care,482.3302057110891,494.10941277301174,39327,False,0.07076778011908896,70,0.0017799476186843644,False
8,food_dining,507.77938270347363,484.4905347973329,39268,False,0.07066161135393967,54,0.0013751655291840686,True
9,health_fitness,538.6743169547909,479.65251081804615,36674,False,0.06599378462856227,52,0.0014178982385341114,False
10,misc_pos,621.8224590732921,1339.8722769266355,34574,False,0.06221489637748574,72,0.0020824897321686815,True
11,misc_net,786.002367815252,1636.3908889685172,27367,True,0.04924611179391023,267,0.00975627580662842,True
12,grocery_net,537.3166735303201,229.0843650467045,19426,True,0.034956515793053686,41,0.0021105734582518272,True
13,travel,1123.896825032953,5959.462948101249,17449,False,0.03139896242525449,40,0.0022923949796549944,False
